seed,Group,chem,mean_weight,total_mean,sd_total_mean,above_threshold
1,mPFD,"2,3,4,7,8-pncdf",0.350142112,0.262474651,0.132506685,96
1,Non-Ortho PCBs,PCB 126,0.143903807,0.123166939,0.090888143,68
1,Non-Dioxin-like PCBs,PCB 99,0.133314436,0.102371171,0.092976697,56
1,mPFD,"1,2,3,6,7,8-hxcdd",0.077255293,0.021597053,0.029298756,10
1,Non-Dioxin-like PCBs,PCB 153,0.068524805,0.017423753,0.030813948,7
1,Non-Ortho PCBs,PCB 169,0.068146996,0.075626265,0.076996433,44
1,Non-Dioxin-like PCBs,PCB 170,0.030259341,0.010449381,0.019559485,4
1,mPFD,"1,2,3,4,6,7,8-hxcdf",0.026490899,0.081696005,0.059970077,57
1,Non-Dioxin-like PCBs,PCB 74,0.024275715,0.039520733,0.052661805,15
1,Non-Dioxin-like PCBs,PCB 194,0.01313816,0.039834125,0.045298732,24
1,Non-Dioxin-like PCBs,PCB 138,0.012710992,0.022887075,0.027888138,10
1,mPFD,"1,2,3,6,7,8-hxcdf",0.012264155,0.023775785,0.02946219,8
1,Non-Dioxin-like PCBs,PCB 187,0.01223028,0.023013487,0.039626962,12
1,mPFD,"1,2,3,4,7,8-hxcdf",0.007441267,0.029768324,0.03640783,12
1,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.007087559,0.011581327,0.017004002,4
1,mPFD,PCB 118,0.006342215,0.085772087,0.079365683,54
1,Non-Dioxin-like PCBs,PCB 180,0.005500625,0.00353903,0.006393246,0
1,mPFD,"1,2,3,4,6,7,8-hpcdd",9.71E-04,0.025502809,0.031696889,12
2,mPFD,PCB 118,0.207044389,0.085772087,0.079365683,54
2,mPFD,"2,3,4,7,8-pncdf",0.171438789,0.262474651,0.132506685,96
2,Non-Dioxin-like PCBs,PCB 194,0.105344092,0.039834125,0.045298732,24
2,Non-Dioxin-like PCBs,PCB 74,0.097932357,0.039520733,0.052661805,15
2,Non-Dioxin-like PCBs,PCB 99,0.061971035,0.102371171,0.092976697,56
2,Non-Ortho PCBs,PCB 169,0.060963327,0.075626265,0.076996433,44
2,mPFD,"1,2,3,4,7,8-hxcdf",0.053716003,0.029768324,0.03640783,12
2,mPFD,"1,2,3,6,7,8-hxcdd",0.037580585,0.021597053,0.029298756,10
2,Non-Dioxin-like PCBs,PCB 153,0.035791093,0.017423753,0.030813948,7
2,mPFD,"1,2,3,4,6,7,8-hxcdf",0.031816186,0.081696005,0.059970077,57
2,Non-Ortho PCBs,PCB 126,0.03058557,0.123166939,0.090888143,68
2,Non-Dioxin-like PCBs,PCB 180,0.028247957,0.00353903,0.006393246,0
2,mPFD,"1,2,3,6,7,8-hxcdf",0.026388818,0.023775785,0.02946219,8
2,Non-Dioxin-like PCBs,PCB 138,0.016766789,0.022887075,0.027888138,10
2,Non-Dioxin-like PCBs,PCB 187,0.014495947,0.023013487,0.039626962,12
2,Non-Dioxin-like PCBs,PCB 170,0.01368283,0.010449381,0.019559485,4
2,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.004809397,0.011581327,0.017004002,4
2,mPFD,"1,2,3,4,6,7,8-hpcdd",0.001424837,0.025502809,0.031696889,12
3,Non-Dioxin-like PCBs,PCB 74,0.331441061,0.039520733,0.052661805,15
3,mPFD,"2,3,4,7,8-pncdf",0.278997394,0.262474651,0.132506685,96
3,mPFD,PCB 118,0.091730357,0.085772087,0.079365683,54
3,Non-Dioxin-like PCBs,PCB 99,0.086781398,0.102371171,0.092976697,56
3,Non-Ortho PCBs,PCB 126,0.075889896,0.123166939,0.090888143,68
3,mPFD,"1,2,3,4,7,8-hxcdf",0.050818698,0.029768324,0.03640783,12
3,mPFD,"1,2,3,4,6,7,8-hpcdd",0.027069655,0.025502809,0.031696889,12
3,Non-Dioxin-like PCBs,PCB 194,0.014817753,0.039834125,0.045298732,24
3,Non-Dioxin-like PCBs,PCB 187,0.013811068,0.023013487,0.039626962,12
3,Non-Ortho PCBs,PCB 169,0.009216973,0.075626265,0.076996433,44
3,mPFD,"1,2,3,4,6,7,8-hxcdf",0.008942019,0.081696005,0.059970077,57
3,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.006074889,0.011581327,0.017004002,4
3,mPFD,"1,2,3,6,7,8-hxcdd",0.003440661,0.021597053,0.029298756,10
3,Non-Dioxin-like PCBs,PCB 153,9.66E-04,0.017423753,0.030813948,7
3,Non-Dioxin-like PCBs,PCB 170,6.79E-07,0.010449381,0.019559485,4
3,Non-Dioxin-like PCBs,PCB 138,6.31E-07,0.022887075,0.027888138,10
3,Non-Dioxin-like PCBs,PCB 180,3.05E-07,0.00353903,0.006393246,0
3,mPFD,"1,2,3,6,7,8-hxcdf",2.46E-07,0.023775785,0.02946219,8
4,mPFD,"2,3,4,7,8-pncdf",0.362296478,0.262474651,0.132506685,96
4,Non-Dioxin-like PCBs,PCB 99,0.212516076,0.102371171,0.092976697,56
4,Non-Ortho PCBs,PCB 169,0.067606944,0.075626265,0.076996433,44
4,Non-Dioxin-like PCBs,PCB 194,0.058658653,0.039834125,0.045298732,24
4,mPFD,"1,2,3,4,7,8-hxcdf",0.058622959,0.029768324,0.03640783,12
4,mPFD,"1,2,3,6,7,8-hxcdd",0.05067448,0.021597053,0.029298756,10
4,mPFD,"1,2,3,4,6,7,8-hxcdf",0.050604915,0.081696005,0.059970077,57
4,Non-Dioxin-like PCBs,PCB 74,0.050111153,0.039520733,0.052661805,15
4,mPFD,"1,2,3,6,7,8-hxcdf",0.046193625,0.023775785,0.02946219,8
4,mPFD,PCB 118,0.018870766,0.085772087,0.079365683,54
4,Non-Dioxin-like PCBs,PCB 138,0.012276353,0.022887075,0.027888138,10
4,Non-Ortho PCBs,PCB 126,0.008478431,0.123166939,0.090888143,68
4,Non-Dioxin-like PCBs,PCB 187,0.001507079,0.023013487,0.039626962,12
4,mPFD,"1,2,3,4,6,7,8-hpcdd",9.41E-04,0.025502809,0.031696889,12
4,Non-Dioxin-like PCBs,PCB 170,6.40E-04,0.010449381,0.019559485,4
4,Non-Dioxin-like PCBs,PCB 180,5.03E-07,0.00353903,0.006393246,0
4,Non-Dioxin-like PCBs,PCB 153,3.71E-07,0.017423753,0.030813948,7
4,mPFD,"1,2,3,4,6,7,8,9-ocdd",1.90E-07,0.011581327,0.017004002,4
5,Non-Dioxin-like PCBs,PCB 99,0.301023531,0.102371171,0.092976697,56
5,Non-Ortho PCBs,PCB 126,0.27185781,0.123166939,0.090888143,68
5,mPFD,"2,3,4,7,8-pncdf",0.171243145,0.262474651,0.132506685,96
5,Non-Ortho PCBs,PCB 169,0.070630634,0.075626265,0.076996433,44
5,mPFD,"1,2,3,4,6,7,8-hxcdf",0.061515823,0.081696005,0.059970077,57
5,mPFD,PCB 118,0.046028272,0.085772087,0.079365683,54
5,Non-Dioxin-like PCBs,PCB 194,0.027821012,0.039834125,0.045298732,24
5,mPFD,"1,2,3,4,7,8-hxcdf",0.012818217,0.029768324,0.03640783,12
5,mPFD,"1,2,3,6,7,8-hxcdf",0.012154927,0.023775785,0.02946219,8
5,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.010344487,0.011581327,0.017004002,4
5,mPFD,"1,2,3,4,6,7,8-hpcdd",0.003930822,0.025502809,0.031696889,12
5,Non-Dioxin-like PCBs,PCB 74,0.003528159,0.039520733,0.052661805,15
5,mPFD,"1,2,3,6,7,8-hxcdd",0.003285581,0.021597053,0.029298756,10
5,Non-Dioxin-like PCBs,PCB 138,0.001564455,0.022887075,0.027888138,10
5,Non-Dioxin-like PCBs,PCB 153,0.001231338,0.017423753,0.030813948,7
5,Non-Dioxin-like PCBs,PCB 187,0.001020831,0.023013487,0.039626962,12
5,Non-Dioxin-like PCBs,PCB 170,4.95E-07,0.010449381,0.019559485,4
5,Non-Dioxin-like PCBs,PCB 180,4.62E-07,0.00353903,0.006393246,0
6,mPFD,"2,3,4,7,8-pncdf",0.32918175,0.262474651,0.132506685,96
6,mPFD,"1,2,3,4,6,7,8-hxcdf",0.189993562,0.081696005,0.059970077,57
6,mPFD,"1,2,3,4,6,7,8-hpcdd",0.123337493,0.025502809,0.031696889,12
6,mPFD,PCB 118,0.096814558,0.085772087,0.079365683,54
6,Non-Ortho PCBs,PCB 169,0.071203746,0.075626265,0.076996433,44
6,Non-Dioxin-like PCBs,PCB 99,0.049500012,0.102371171,0.092976697,56
6,Non-Dioxin-like PCBs,PCB 74,0.026060471,0.039520733,0.052661805,15
6,Non-Dioxin-like PCBs,PCB 138,0.024756293,0.022887075,0.027888138,10
6,mPFD,"1,2,3,6,7,8-hxcdd",0.024253896,0.021597053,0.029298756,10
6,mPFD,"1,2,3,6,7,8-hxcdf",0.021291583,0.023775785,0.02946219,8
6,Non-Ortho PCBs,PCB 126,0.016716466,0.123166939,0.090888143,68
6,Non-Dioxin-like PCBs,PCB 153,0.015384165,0.017423753,0.030813948,7
6,Non-Dioxin-like PCBs,PCB 187,0.006037796,0.023013487,0.039626962,12
6,Non-Dioxin-like PCBs,PCB 180,0.003049528,0.00353903,0.006393246,0
6,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.002417872,0.011581327,0.017004002,4
6,Non-Dioxin-like PCBs,PCB 170,5.23E-07,0.010449381,0.019559485,4
6,Non-Dioxin-like PCBs,PCB 194,1.77E-07,0.039834125,0.045298732,24
6,mPFD,"1,2,3,4,7,8-hxcdf",1.09E-07,0.029768324,0.03640783,12
7,mPFD,"2,3,4,7,8-pncdf",0.311199078,0.262474651,0.132506685,96
7,Non-Ortho PCBs,PCB 126,0.266537271,0.123166939,0.090888143,68
7,Non-Ortho PCBs,PCB 169,0.112214217,0.075626265,0.076996433,44
7,Non-Dioxin-like PCBs,PCB 99,0.086356711,0.102371171,0.092976697,56
7,mPFD,PCB 118,0.049385855,0.085772087,0.079365683,54
7,mPFD,"1,2,3,6,7,8-hxcdd",0.035728725,0.021597053,0.029298756,10
7,mPFD,"1,2,3,4,6,7,8-hxcdf",0.034066576,0.081696005,0.059970077,57
7,Non-Dioxin-like PCBs,PCB 74,0.031731041,0.039520733,0.052661805,15
7,mPFD,"1,2,3,4,7,8-hxcdf",0.016869851,0.029768324,0.03640783,12
7,Non-Dioxin-like PCBs,PCB 138,0.016682484,0.022887075,0.027888138,10
7,mPFD,"1,2,3,6,7,8-hxcdf",0.016583791,0.023775785,0.02946219,8
7,Non-Dioxin-like PCBs,PCB 194,0.007435959,0.039834125,0.045298732,24
7,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.004119692,0.011581327,0.017004002,4
7,Non-Dioxin-like PCBs,PCB 153,0.003908411,0.017423753,0.030813948,7
7,Non-Dioxin-like PCBs,PCB 170,0.00319214,0.010449381,0.019559485,4
7,Non-Dioxin-like PCBs,PCB 187,0.002249899,0.023013487,0.039626962,12
7,mPFD,"1,2,3,4,6,7,8-hpcdd",0.001737959,0.025502809,0.031696889,12
7,Non-Dioxin-like PCBs,PCB 180,3.41E-07,0.00353903,0.006393246,0
8,mPFD,"2,3,4,7,8-pncdf",0.526105435,0.262474651,0.132506685,96
8,Non-Dioxin-like PCBs,PCB 194,0.112486875,0.039834125,0.045298732,24
8,mPFD,"1,2,3,4,6,7,8-hxcdf",0.08040606,0.081696005,0.059970077,57
8,mPFD,"1,2,3,4,7,8-hxcdf",0.048250358,0.029768324,0.03640783,12
8,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.034225425,0.011581327,0.017004002,4
8,Non-Dioxin-like PCBs,PCB 99,0.033518051,0.102371171,0.092976697,56
8,Non-Ortho PCBs,PCB 126,0.032983714,0.123166939,0.090888143,68
8,mPFD,"1,2,3,6,7,8-hxcdf",0.031234667,0.023775785,0.02946219,8
8,mPFD,PCB 118,0.028571472,0.085772087,0.079365683,54
8,Non-Dioxin-like PCBs,PCB 187,0.026066882,0.023013487,0.039626962,12
8,mPFD,"1,2,3,6,7,8-hxcdd",0.009207739,0.021597053,0.029298756,10
8,Non-Dioxin-like PCBs,PCB 74,0.008606279,0.039520733,0.052661805,15
8,Non-Ortho PCBs,PCB 169,0.007553151,0.075626265,0.076996433,44
8,Non-Dioxin-like PCBs,PCB 153,0.007377095,0.017423753,0.030813948,7
8,mPFD,"1,2,3,4,6,7,8-hpcdd",0.006717394,0.025502809,0.031696889,12
8,Non-Dioxin-like PCBs,PCB 138,0.003581702,0.022887075,0.027888138,10
8,Non-Dioxin-like PCBs,PCB 170,0.003107243,0.010449381,0.019559485,4
8,Non-Dioxin-like PCBs,PCB 180,4.59E-07,0.00353903,0.006393246,0
9,Non-Ortho PCBs,PCB 169,0.30428182,0.075626265,0.076996433,44
9,mPFD,"1,2,3,4,6,7,8-hxcdf",0.146784717,0.081696005,0.059970077,57
9,mPFD,"2,3,4,7,8-pncdf",0.118052475,0.262474651,0.132506685,96
9,mPFD,"1,2,3,6,7,8-hxcdd",0.077564703,0.021597053,0.029298756,10
9,mPFD,PCB 118,0.075799264,0.085772087,0.079365683,54
9,mPFD,"1,2,3,4,7,8-hxcdf",0.056537045,0.029768324,0.03640783,12
9,Non-Dioxin-like PCBs,PCB 138,0.049500312,0.022887075,0.027888138,10
9,mPFD,"1,2,3,6,7,8-hxcdf",0.039677483,0.023775785,0.02946219,8
9,Non-Dioxin-like PCBs,PCB 74,0.038239423,0.039520733,0.052661805,15
9,Non-Dioxin-like PCBs,PCB 99,0.025910111,0.102371171,0.092976697,56
9,Non-Ortho PCBs,PCB 126,0.025755961,0.123166939,0.090888143,68
9,mPFD,"1,2,3,4,6,7,8-hpcdd",0.023549356,0.025502809,0.031696889,12
9,Non-Dioxin-like PCBs,PCB 194,0.006097583,0.039834125,0.045298732,24
9,Non-Dioxin-like PCBs,PCB 153,0.005176925,0.017423753,0.030813948,7
9,Non-Dioxin-like PCBs,PCB 170,0.00441409,0.010449381,0.019559485,4
9,Non-Dioxin-like PCBs,PCB 180,0.001814141,0.00353903,0.006393246,0
9,mPFD,"1,2,3,4,6,7,8,9-ocdd",8.44E-04,0.011581327,0.017004002,4
9,Non-Dioxin-like PCBs,PCB 187,2.28E-07,0.023013487,0.039626962,12
10,mPFD,"2,3,4,7,8-pncdf",0.247837548,0.262474651,0.132506685,96
10,Non-Ortho PCBs,PCB 126,0.186078734,0.123166939,0.090888143,68
10,mPFD,PCB 118,0.13956311,0.085772087,0.079365683,54
10,Non-Dioxin-like PCBs,PCB 153,0.072271425,0.017423753,0.030813948,7
10,Non-Ortho PCBs,PCB 169,0.069485514,0.075626265,0.076996433,44
10,Non-Dioxin-like PCBs,PCB 99,0.046948591,0.102371171,0.092976697,56
10,mPFD,"1,2,3,4,6,7,8-hxcdf",0.045602377,0.081696005,0.059970077,57
10,Non-Dioxin-like PCBs,PCB 138,0.034107983,0.022887075,0.027888138,10
10,Non-Dioxin-like PCBs,PCB 187,0.028794358,0.023013487,0.039626962,12
10,Non-Dioxin-like PCBs,PCB 194,0.026140316,0.039834125,0.045298732,24
10,mPFD,"1,2,3,6,7,8-hxcdf",0.022027627,0.023775785,0.02946219,8
10,mPFD,"1,2,3,6,7,8-hxcdd",0.021161143,0.021597053,0.029298756,10
10,mPFD,"1,2,3,4,6,7,8-hpcdd",0.019240678,0.025502809,0.031696889,12
10,Non-Dioxin-like PCBs,PCB 170,0.013093726,0.010449381,0.019559485,4
10,mPFD,"1,2,3,4,7,8-hxcdf",0.011886765,0.029768324,0.03640783,12
10,mPFD,"1,2,3,4,6,7,8,9-ocdd",0.011343465,0.011581327,0.017004002,4
10,Non-Dioxin-like PCBs,PCB 180,0.002289462,0.00353903,0.006393246,0
10,Non-Dioxin-like PCBs,PCB 74,0.002127177,0.039520733,0.052661805,15
11,Non-Ortho PCBs,PCB 126,0.278356097,0.123166939,0.090888143,68
11,mPFD,"2,3,4,7,8-pncdf",0.187905698,0.262474651,0.132506685,96
11,Non-Ortho PCBs,PCB 169,0.158791794,0.075626265,0.076996433,44
11,mPFD,"1,2,3,4,6,7,8-hxcdf",0.126261012,0.081696005,0.059970077,57
11,mPFD,"1,2,3,4,7,8-hxcdf",0.083189877,0.029768324,0.03640783,12
11,Non-Dioxin-like PCBs,PCB 99,0.059083107,0.102371171,0.092976697,56
11,Non-Dioxin-like PCBs,PCB 194,0.025758103,0.039834125,0.045298732,24
