seed,variable,mean_weight
970,LBXF03LA,0.4608114742450569
970,LBXPCBLA,0.12068275769038472
970,LBX118LA,0.09340252126565352
970,LBXHXCLA,0.07591047942484891
970,LBXF08LA,0.056348084908886514
970,LBX194LA,0.05256808383545178
970,LBXD03LA,0.038266499351918705
970,LBXF04LA,0.037353342372292764
970,LBXD05LA,0.031580273101479095
970,LBX074LA,0.010821794061606665
970,LBX170LA,0.010439329959226374
970,LBX138LA,0.0036798707754404415
970,LBX180LA,0.0029549592099875808
970,LBX153LA,0.0025714151189536903
970,LBXD07LA,0.001938600592972514
970,LBXF05LA,6.700729169363264e-4
970,LBX099LA,2.585695735071455e-7
970,LBX187LA,1.8259932965112808e-7
362,LBXF03LA,0.2808901787579405
362,LBXPCBLA,0.23746428347891077
362,LBX099LA,0.11162350373855819
362,LBXHXCLA,0.07452313081025977
362,LBX153LA,0.06043750036683096
362,LBXF08LA,0.05235741017147343
362,LBX074LA,0.037134568000372535
362,LBX170LA,0.03140659224744151
362,LBX194LA,0.028991105851099017
362,LBX187LA,0.01765143224485768
362,LBXD05LA,0.01724662688829575
362,LBX138LA,0.01654478758395714
362,LBXF04LA,0.010356188620745298
362,LBXD03LA,0.008481586956737333
362,LBXD07LA,0.007731559672295024
362,LBXF05LA,0.004543563345510527
362,LBX118LA,0.0026154812147569494
362,LBX180LA,5.000499557545387e-7
65,LBXF03LA,0.40337094168864807
65,LBX118LA,0.08585281154256638
65,LBXHXCLA,0.07875569308392195
65,LBXF05LA,0.07660659312995041
65,LBXPCBLA,0.07093295192776222
65,LBX138LA,0.06228805108338961
65,LBXF04LA,0.05671761343731437
65,LBXF08LA,0.036705329218117165
65,LBX074LA,0.026884426391975243
65,LBXD03LA,0.02501604314782359
65,LBXD05LA,0.02042694544758022
65,LBX194LA,0.018190848576914064
65,LBX099LA,0.015738798021707207
65,LBX153LA,0.014075137208268026
65,LBX187LA,0.005685239497922379
65,LBXD07LA,0.0027520367103258396
65,LBX180LA,2.7302845079245654e-7
65,LBX170LA,2.668573624953468e-7
139,LBXF03LA,0.45546308624277493
139,LBX099LA,0.17193060741415236
139,LBXF08LA,0.06696991727025156
139,LBX153LA,0.05950121763141786
139,LBX074LA,0.05834104750892027
139,LBXHXCLA,0.04791980124845896
139,LBX118LA,0.04614386079321743
139,LBX138LA,0.02065864653456282
139,LBXF04LA,0.017316952064279537
139,LBXPCBLA,0.01549571645731431
139,LBXD05LA,0.008976382277105401
139,LBX170LA,0.008922487923816155
139,LBX194LA,0.008088604352992284
139,LBXD03LA,0.005692947944432533
139,LBXD07LA,0.004613238815841499
139,LBX180LA,0.002042178129325426
139,LBXF05LA,0.0017669064242107713
139,LBX187LA,1.5640096692591857e-4
334,LBXF03LA,0.1871957001660258
334,LBX194LA,0.15982481335116042
334,LBXHXCLA,0.15257371805323353
334,LBX099LA,0.08867833483652582
334,LBXPCBLA,0.08615934034929222
334,LBXF08LA,0.06970182177234531
334,LBX118LA,0.06682893881451266
334,LBX187LA,0.0651954703988802
334,LBXF04LA,0.0620479119997873
334,LBX074LA,0.03475463623921569
334,LBXD03LA,0.01358254629222259
334,LBXD05LA,0.0071893550789217725
334,LBXD07LA,0.0025595202848373052
334,LBX170LA,0.0018817893994286078
334,LBX138LA,0.001530878809121315
334,LBX180LA,1.98764946754452e-4
334,LBXF05LA,9.616028837385976e-5
334,LBX153LA,2.9891936292723113e-7
