seed,variable,mean_weight
1,LBXF03LA,0.35014211221813313
1,LBXPCBLA,0.14390380707228115
1,LBX099LA,0.13331443600076673
1,LBXD03LA,0.07725529252227002
1,LBX153LA,0.06852480469956504
1,LBXHXCLA,0.0681469964803145
1,LBX170LA,0.030259340851369602
1,LBXF08LA,0.0264908989029837
1,LBX074LA,0.024275715357048946
1,LBX194LA,0.01313816013375742
1,LBX138LA,0.012710991613285481
1,LBXF05LA,0.012264154556456207
1,LBX187LA,0.012230279792514584
1,LBXF04LA,0.007441267026406414
1,LBXD07LA,0.007087559168430541
1,LBX118LA,0.006342214747996872
1,LBX180LA,0.00550062527107438
1,LBXD05LA,9.713435853462763e-4
2,LBX118LA,0.2070443892229548
2,LBXF03LA,0.17143878938609
2,LBX194LA,0.10534409198235387
2,LBX074LA,0.0979323574595553
2,LBX099LA,0.061971035300461635
2,LBXHXCLA,0.060963327039338926
2,LBXF04LA,0.053716002965036765
2,LBXD03LA,0.03758058482054125
2,LBX153LA,0.03579109310378039
2,LBXF08LA,0.03181618561171065
2,LBXPCBLA,0.030585569912748713
2,LBX180LA,0.028247957166332806
2,LBXF05LA,0.026388817523867323
2,LBX138LA,0.016766788652002994
2,LBX187LA,0.014495947025095868
2,LBX170LA,0.013682829547865613
2,LBXD07LA,0.004809396561776236
2,LBXD05LA,0.001424836718486204
3,LBX074LA,0.33144106139139823
3,LBXF03LA,0.27899739444942206
3,LBX118LA,0.0917303566611791
3,LBX099LA,0.08678139753620326
3,LBXPCBLA,0.07588989628104202
3,LBXF04LA,0.05081869751347869
3,LBXD05LA,0.027069655254092263
3,LBX194LA,0.014817752973695784
3,LBX187LA,0.013811068369980922
3,LBXHXCLA,0.00921697327637601
3,LBXF08LA,0.008942018852266597
3,LBXD07LA,0.0060748885214275475
3,LBXD03LA,0.0034406613158406646
3,LBX153LA,9.663163622341482e-4
3,LBX170LA,6.787461891948977e-7
3,LBX138LA,6.313791371563925e-7
3,LBX180LA,3.0532184684832177e-7
