"","seed","Group","chem","beta_grlasso","mean","se","number_nonzero"
"1",1,"Non-Dioxin-like PCBs","PCB 74",0.000243115528072606,0.000181262172081234,1.30532765487184e-05,78
"2",1,"Non-Dioxin-like PCBs","PCB 99",0.00147645217598562,0.00107928128646878,7.23523731326087e-05,78
"3",1,"mPFD","PCB 118",0.00498773506385709,0.0046415597899494,6.55826534929737e-05,100
"4",1,"Non-Dioxin-like PCBs","PCB 138",-0.00510847004724714,-0.00374168484864306,0.000253852135683863,78
"5",1,"Non-Dioxin-like PCBs","PCB 153",0.0121158576788589,0.00890153338642284,0.000610580118202365,78
"6",1,"Non-Dioxin-like PCBs","PCB 170",0.00413774461810692,0.00303441586840586,0.00020668522545227,78
"7",1,"Non-Dioxin-like PCBs","PCB 180",-0.00960636342237447,-0.00707348179008405,0.000488504606554016,78
"8",1,"Non-Dioxin-like PCBs","PCB 187",-0.00123295990830094,-0.000917533377483401,6.59315886681054e-05,78
"9",1,"mPFD","1,2,3,6,7,8-hxcdd",-0.0057323512612502,-0.00525040054209483,9.20177675697431e-05,100
"10",1,"mPFD","1,2,3,4,6,7,8-hpcdd",0.00336729807024919,0.00303660696260474,6.32132075376679e-05,100
"11",1,"mPFD","1,2,3,4,6,7,8,9-ocdd",-0.0109482867754322,-0.00994166257707232,0.000192940146059443,100
"12",1,"mPFD","2,3,4,7,8-pncdf",0.0148801272143956,0.0135229931658582,0.000259385431478736,100
"13",1,"mPFD","1,2,3,4,7,8-hxcdf",0.00454948909673213,0.00408789296657312,8.98083006429469e-05,100
"14",1,"mPFD","1,2,3,6,7,8-hxcdf",-0.00775574687337813,-0.00705401224384174,0.000134115568554311,100
"15",1,"mPFD","1,2,3,4,6,7,8-hxcdf",0.00900916018300432,0.00822580870517488,0.000149502519370788,100
"16",1,"Non-Ortho PCBs","PCB 126",0.0120880223950179,0.0119720728355396,2.48776838849193e-05,100
"17",1,"Non-Ortho PCBs","PCB 169",0.00870972701576318,0.00847330828458077,4.89476066124562e-05,100
"18",1,"Non-Dioxin-like PCBs","PCB 194",-0.000447905990403308,-0.000315429532814393,1.88627552046062e-05,78
"19",2,"Non-Dioxin-like PCBs","PCB 74",0.000152805931244973,0.000181262172081234,1.30532765487184e-05,78
"20",2,"Non-Dioxin-like PCBs","PCB 99",0.00100883671985397,0.00107928128646878,7.23523731326087e-05,78
"21",2,"mPFD","PCB 118",0.00476041056170525,0.0046415597899494,6.55826534929737e-05,100
"22",2,"Non-Dioxin-like PCBs","PCB 138",-0.00343660945626002,-0.00374168484864306,0.000253852135683863,78
"23",2,"Non-Dioxin-like PCBs","PCB 153",0.0080475089415052,0.00890153338642284,0.000610580118202365,78
"24",2,"Non-Dioxin-like PCBs","PCB 170",0.00277125327705906,0.00303441586840586,0.00020668522545227,78
"25",2,"Non-Dioxin-like PCBs","PCB 180",-0.00633318506543568,-0.00707348179008405,0.000488504606554016,78
"26",2,"Non-Dioxin-like PCBs","PCB 187",-0.00077538214183204,-0.000917533377483401,6.59315886681054e-05,78
"27",2,"mPFD","1,2,3,6,7,8-hxcdd",-0.00528330746148828,-0.00525040054209483,9.20177675697431e-05,100
"28",2,"mPFD","1,2,3,4,6,7,8-hpcdd",0.00304227986513147,0.00303660696260474,6.32132075376679e-05,100
"29",2,"mPFD","1,2,3,4,6,7,8,9-ocdd",-0.00997584225808041,-0.00994166257707232,0.000192940146059443,100
"30",2,"mPFD","2,3,4,7,8-pncdf",0.0135713589159413,0.0135229931658582,0.000259385431478736,100
"31",2,"mPFD","1,2,3,4,7,8-hxcdf",0.00405766331437628,0.00408789296657312,8.98083006429469e-05,100
"32",2,"mPFD","1,2,3,6,7,8-hxcdf",-0.00708201443845581,-0.00705401224384174,0.000134115568554311,100
"33",2,"mPFD","1,2,3,4,6,7,8-hxcdf",0.00826759345319918,0.00822580870517488,0.000149502519370788,100
"34",2,"Non-Ortho PCBs","PCB 126",0.0119886716629534,0.0119720728355396,2.48776838849193e-05,100
"35",2,"Non-Ortho PCBs","PCB 169",0.00846491252106052,0.00847330828458077,4.89476066124562e-05,100
"36",2,"Non-Dioxin-like PCBs","PCB 194",-0.000353427978635889,-0.000315429532814393,1.88627552046062e-05,78
"37",3,"Non-Dioxin-like PCBs","PCB 74",0.00033488198690576,0.000181262172081234,1.30532765487184e-05,78
"38",3,"Non-Dioxin-like PCBs","PCB 99",0.00188491755332414,0.00107928128646878,7.23523731326087e-05,78
"39",3,"mPFD","PCB 118",0.00516148434778079,0.0046415597899494,6.55826534929737e-05,100
"40",3,"Non-Dioxin-like PCBs","PCB 138",-0.00660221958850535,-0.00374168484864306,0.000253852135683863,78
"41",3,"Non-Dioxin-like PCBs","PCB 153",0.0158481440470826,0.00890153338642284,0.000610580118202365,78
"42",3,"Non-Dioxin-like PCBs","PCB 170",0.00537155348885401,0.00303441586840586,0.00020668522545227,78
"43",3,"Non-Dioxin-like PCBs","PCB 180",-0.0126611484838591,-0.00707348179008405,0.000488504606554016,78
"44",3,"Non-Dioxin-like PCBs","PCB 187",-0.00169322460237307,-0.000917533377483401,6.59315886681054e-05,78
"45",3,"mPFD","1,2,3,6,7,8-hxcdd",-0.0061404117796678,-0.00525040054209483,9.20177675697431e-05,100
"46",3,"mPFD","1,2,3,4,6,7,8-hpcdd",0.0036677560308256,0.00303660696260474,6.32132075376679e-05,100
"47",3,"mPFD","1,2,3,4,6,7,8,9-ocdd",-0.0118464507093906,-0.00994166257707232,0.000192940146059443,100
"48",3,"mPFD","2,3,4,7,8-pncdf",0.0160830566061233,0.0135229931658582,0.000259385431478736,100
"49",3,"mPFD","1,2,3,4,7,8-hxcdf",0.00501944169631928,0.00408789296657312,8.98083006429469e-05,100
"50",3,"mPFD","1,2,3,6,7,8-hxcdf",-0.00837431917732955,-0.00705401224384174,0.000134115568554311,100
"51",3,"mPFD","1,2,3,4,6,7,8-hxcdf",0.00968576211936477,0.00822580870517488,0.000149502519370788,100
"52",3,"Non-Ortho PCBs","PCB 126",0.0121881110660752,0.0119720728355396,2.48776838849193e-05,100
"53",3,"Non-Ortho PCBs","PCB 169",0.00896080969191382,0.00847330828458077,4.89476066124562e-05,100
"54",3,"Non-Dioxin-like PCBs","PCB 194",-0.000486229910879615,-0.000315429532814393,1.88627552046062e-05,78
"55",4,"Non-Dioxin-like PCBs","PCB 74",0.000427289007682883,0.000181262172081234,1.30532765487184e-05,78
"56",4,"Non-Dioxin-like PCBs","PCB 99",0.0022444058934294,0.00107928128646878,7.23523731326087e-05,78
"57",4,"mPFD","PCB 118",0.00529124486130478,0.0046415597899494,6.55826534929737e-05,100
"58",4,"Non-Dioxin-like PCBs","PCB 138",-0.00793442355976871,-0.00374168484864306,0.000253852135683863,78
"59",4,"Non-Dioxin-like PCBs","PCB 153",0.0192631344146794,0.00890153338642284,0.000610580118202365,78
"60",4,"Non-Dioxin-like PCBs","PCB 170",0.00648444271620053,0.00303441586840586,0.00020668522545227,78
"61",4,"Non-Dioxin-like PCBs","PCB 180",-0.0155080397751182,-0.00707348179008405,0.000488504606554016,78
"62",4,"Non-Dioxin-like PCBs","PCB 187",-0.00214930299392952,-0.000917533377483401,6.59315886681054e-05,78
"63",4,"mPFD","1,2,3,6,7,8-hxcdd",-0.00651206935836722,-0.00525040054209483,9.20177675697431e-05,100
"64",4,"mPFD","1,2,3,4,6,7,8-hpcdd",0.00394408353583394,0.00303660696260474,6.32132075376679e-05,100
"65",4,"mPFD","1,2,3,4,6,7,8,9-ocdd",-0.0126753789477859,-0.00994166257707232,0.000192940146059443,100
"66",4,"mPFD","2,3,4,7,8-pncdf",0.0171870473789801,0.0135229931658582,0.000259385431478736,100
"67",4,"mPFD","1,2,3,4,7,8-hxcdf",0.00546629306896596,0.00408789296657312,8.98083006429469e-05,100
"68",4,"mPFD","1,2,3,6,7,8-hxcdf",-0.00894172016926772,-0.00705401224384174,0.000134115568554311,100
"69",4,"mPFD","1,2,3,4,6,7,8-hxcdf",0.0103034197258537,0.00822580870517488,0.000149502519370788,100
"70",4,"Non-Ortho PCBs","PCB 126",0.0122878665419465,0.0119720728355396,2.48776838849193e-05,100
"71",4,"Non-Ortho PCBs","PCB 169",0.00921820585106711,0.00847330828458077,4.89476066124562e-05,100
"72",4,"Non-Dioxin-like PCBs","PCB 194",-0.000482106567566872,-0.000315429532814393,1.88627552046062e-05,78
"73",5,"Non-Dioxin-like PCBs","PCB 74",0.000152805931244973,0.000181262172081234,1.30532765487184e-05,78
"74",5,"Non-Dioxin-like PCBs","PCB 99",0.00100883671985397,0.00107928128646878,7.23523731326087e-05,78
"75",5,"mPFD","PCB 118",0.00476041056170525,0.0046415597899494,6.55826534929737e-05,100
"76",5,"Non-Dioxin-like PCBs","PCB 138",-0.00343660945626002,-0.00374168484864306,0.000253852135683863,78
"77",5,"Non-Dioxin-like PCBs","PCB 153",0.0080475089415052,0.00890153338642284,0.000610580118202365,78
"78",5,"Non-Dioxin-like PCBs","PCB 170",0.00277125327705906,0.00303441586840586,0.00020668522545227,78
"79",5,"Non-Dioxin-like PCBs","PCB 180",-0.00633318506543568,-0.00707348179008405,0.000488504606554016,78
"80",5,"Non-Dioxin-like PCBs","PCB 187",-0.00077538214183204,-0.000917533377483401,6.59315886681054e-05,78
"81",5,"mPFD","1,2,3,6,7,8-hxcdd",-0.00528330746148828,-0.00525040054209483,9.20177675697431e-05,100
"82",5,"mPFD","1,2,3,4,6,7,8-hpcdd",0.00304227986513147,0.00303660696260474,6.32132075376679e-05,100
"83",5,"mPFD","1,2,3,4,6,7,8,9-ocdd",-0.00997584225808041,-0.00994166257707232,0.000192940146059443,100
"84",5,"mPFD","2,3,4,7,8-pncdf",0.0135713589159413,0.0135229931658582,0.000259385431478736,100
"85",5,"mPFD","1,2,3,4,7,8-hxcdf",0.00405766331437628,0.00408789296657312,8.98083006429469e-05,100
"86",5,"mPFD","1,2,3,6,7,8-hxcdf",-0.00708201443845581,-0.00705401224384174,0.000134115568554311,100
