"","seed","Group","chem","beta_lasso","mean","se","number_nonzero"
"1",1,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"2",1,"Non-Dioxin-like PCBs","PCB 99",0.00187271311009269,0.00207883006469387,0.000103872062126573,100
"3",1,"mPFD","PCB 118",0.0037773300226038,0.00417413751941203,0.00015889455616173,100
"4",1,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"5",1,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"6",1,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"7",1,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"8",1,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"9",1,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
"10",1,"mPFD","1,2,3,4,6,7,8-hpcdd",0,0,0,0
"11",1,"mPFD","1,2,3,4,6,7,8,9-ocdd",0,-0.000793342774437702,0.000258429964777081,11
"12",1,"mPFD","2,3,4,7,8-pncdf",0.0226471663382398,0.022785687851283,9.85868262387431e-05,100
"13",1,"mPFD","1,2,3,4,7,8-hxcdf",0,0,0,0
"14",1,"mPFD","1,2,3,6,7,8-hxcdf",0,0,0,0
"15",1,"mPFD","1,2,3,4,6,7,8-hxcdf",3.96374517551747e-05,0.000812445079317047,0.000192221485691723,71
"16",1,"Non-Ortho PCBs","PCB 126",0.0106611457803702,0.010731540842584,5.24662956248506e-05,100
"17",1,"Non-Ortho PCBs","PCB 169",0,0.000500002439143377,0.000189547658862809,11
"18",1,"Non-Dioxin-like PCBs","PCB 194",0,0,0,0
"19",2,"Non-Dioxin-like PCBs","PCB 74",0,0,0,0
"20",2,"Non-Dioxin-like PCBs","PCB 99",0.00187271311009269,0.00207883006469387,0.000103872062126573,100
"21",2,"mPFD","PCB 118",0.0037773300226038,0.00417413751941203,0.00015889455616173,100
"22",2,"Non-Dioxin-like PCBs","PCB 138",0,0,0,0
"23",2,"Non-Dioxin-like PCBs","PCB 153",0,0,0,0
"24",2,"Non-Dioxin-like PCBs","PCB 170",0,0,0,0
"25",2,"Non-Dioxin-like PCBs","PCB 180",0,-0.00041873331822929,0.000201748781189617,5
"26",2,"Non-Dioxin-like PCBs","PCB 187",0,0,0,0
"27",2,"mPFD","1,2,3,6,7,8-hxcdd",0,-1.41378886035076e-06,9.94637887211316e-07,2
